seq,dinov2,siglip,weakmetric,dinov2_pct,siglip_pct,weakmetric_pct,ensemble_pct,video,camera,start_frame,end_frame,n_dets,avg_conf
3317,0.6055883765220642,0.5762161612510681,0.6649010181427002,0.7465753424657534,0.4246575342465753,0.8424657534246576,0.6712328767123288,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,34690,34989,300,0.86714
3589,0.6510852575302124,0.6801018714904785,0.49543893337249756,0.8835616438356164,0.8356164383561644,0.2808219178082192,0.6666666666666666,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,36263,36484,212,0.81687
6871,0.536908745765686,0.6185252666473389,0.6715435981750488,0.4726027397260274,0.6506849315068494,0.8767123287671232,0.6666666666666666,vlincs_MS01_MC0001_MCAM05_2024-03-Tc8,MCAM05,8570,8869,300,0.834158
3263,0.6305513381958008,0.63294517993927,0.5562580823898315,0.8287671232876712,0.7054794520547946,0.4589041095890411,0.6643835616438356,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,34087,34386,298,0.87916
3286,0.6938660740852356,0.5531722903251648,0.5931878089904785,0.9726027397260274,0.3082191780821918,0.6643835616438356,0.6484018264840182,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,34387,34686,297,0.838002
5693,0.4935603141784668,0.6199980974197388,0.7115113735198975,0.3424657534246575,0.6575342465753424,0.9383561643835616,0.6461187214611872,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,8067,8197,104,0.612537
3135,0.5889110565185547,0.5887656211853027,0.6235102415084839,0.6506849315068494,0.4657534246575342,0.7671232876712328,0.6278538812785388,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,32587,32886,300,0.895794
6794,0.465704083442688,0.6249739527702332,0.7441917657852173,0.22602739726027396,0.678082191780822,0.9726027397260274,0.6255707762557078,vlincs_MS01_MC0001_MCAM05_2024-03-Tc8,MCAM05,5922,6221,300,0.90232
3238,0.6158853769302368,0.617584228515625,0.558746337890625,0.773972602739726,0.6301369863013698,0.4657534246575342,0.6232876712328768,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,33787,34086,300,0.902425
3693,0.5305306315422058,0.7123162746429443,0.5407124757766724,0.4520547945205479,0.9315068493150684,0.4246575342465753,0.6027397260273972,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,36756,37055,300,0.863598
6787,0.5961867570877075,0.6441121697425842,0.5243712067604065,0.6917808219178082,0.7397260273972602,0.363013698630137,0.5981735159817352,vlincs_MS01_MC0001_MCAM05_2024-03-Tc8,MCAM05,34383,34525,143,0.831076
2089,0.5710407495498657,0.6095976829528809,0.5775988698005676,0.5958904109589042,0.5821917808219178,0.6095890410958904,0.5958904109589042,vlincs_MS01_MC0001_MCAM03_2024-03-Tc8,MCAM03,37145,37444,300,0.795396
8669,0.6555271148681641,0.6555904150009155,0.40465497970581055,0.9041095890410958,0.7808219178082192,0.08904109589041095,0.591324200913242,vlincs_MS01_MC0001_MCAM08_2024-03-Tc6,MCAM08,32155,32454,300,0.845856
7241,0.47466716170310974,0.6089181900024414,0.694692075252533,0.2602739726027397,0.5684931506849316,0.9315068493150684,0.5867579908675798,vlincs_MS01_MC0001_MCAM06_2024-03-Tc8,MCAM06,26077,26376,300,0.846234
4583,0.5330076217651367,0.6385308504104614,0.5658611059188843,0.4657534246575342,0.7191780821917808,0.5547945205479452,0.5799086757990868,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,42177,42285,57,0.399565
